"ID","Score","R","DC","N","Sex"
1,-0.205121634199734,1,0,0,2
1,-0.31525465905578,1,0,0,2
1,-0.297726124598015,1,0,0,2
1,-0.145815043090605,1,0,0,2
1,-1.60153326775113,1,0,0,2
1,-0.194884421485677,1,0,0,2
1,-1.60633185871936,1,0,0,2
1,-0.698304774622852,1,0,0,2
1,-0.747850020027439,1,0,0,2
1,-1.00841925099599,1,0,0,2
1,0.374081744917921,0,1,0,2
1,-0.253776235311914,0,1,0,2
1,-0.187112202180197,0,1,0,2
1,-1.36993247742468,0,1,0,2
1,-0.723654345720964,0,1,0,2
1,-0.560664037089946,0,1,0,2
1,-0.0930816324150154,0,1,0,2
1,-2.42282741048962,0,1,0,2
1,-0.69635562387416,0,1,0,2
1,-0.48124856756016,0,1,0,2
1,0.113111859155045,0,1,0,2
1,-1.08124396123075,0,1,0,2
1,-0.774162000830403,0,1,0,2
1,-0.461354515313052,0,1,0,2
1,0.224444866413902,0,1,0,2
1,-0.411245117839209,0,1,0,2
1,-0.0143298287940717,0,1,0,2
1,-0.437633137400876,0,1,0,2
1,-0.577926843553336,0,1,0,2
1,-0.228698501383694,0,1,0,2
1,0.612264770754445,0,0,1,2
1,-0.414180814965634,0,0,1,2
1,1.53184443925541,0,0,1,2
1,-0.767135722717073,0,0,1,2
1,-0.821775218271633,0,0,1,2
1,1.356941758138,0,0,1,2
1,1.22224283635471,0,0,1,2
1,-1.85484373169728,0,0,1,2
1,-0.930954914322057,0,0,1,2
1,-1.3816090392781,0,0,1,2
1,1.32123225299753,0,0,1,2
1,-0.946337413859409,0,0,1,2
1,-0.656492359017516,0,0,1,2
1,1.92259962679721,0,0,1,2
1,1.48815588848834,0,0,1,2
1,0.828758259894112,0,0,1,2
1,-0.767135722717073,0,0,1,2
1,1.08749853389533,0,0,1,2
1,-0.985811121938139,0,0,1,2
1,-0.587146466660919,0,0,1,2
1,-0.479804424655914,0,0,1,2
1,-0.747142396094343,0,0,1,2
1,-0.498978548473514,0,0,1,2
1,-0.479804424655914,0,0,1,2
1,-0.427581096408294,0,0,1,2
1,0.714320986783417,0,0,1,2
1,-0.593420534693233,0,0,1,2
1,-0.727379978177198,0,0,1,2
1,-1.3816090392781,0,0,1,2
1,1.11472585990673,0,0,1,2
1,1.07859801040577,0,0,1,2
1,-0.714320986783417,0,0,1,2
1,0.714320986783417,0,0,1,2
1,-1.03531552814712,0,0,1,2
1,-0.650143279451424,0,0,1,2
1,1.79192025056284,0,0,1,2
1,-0.878747730968363,0,0,1,2
1,-0.505335219369393,0,0,1,2
1,-0.587146466660919,0,0,1,2
1,-0.857075309732914,0,0,1,2
2,0.841853373694743,1,0,0,2
2,0.820589333130486,1,0,0,2
2,0.959910091376359,1,0,0,2
2,1.22821132449394,1,0,0,2
2,1.12329763918656,1,0,0,2
2,1.1314123358474,1,0,0,2
2,1.04384528192874,1,0,0,2
2,0.457672723908221,1,0,0,2
2,1.47303791823587,1,0,0,2
2,1.18769378450639,1,0,0,2
2,1.33881887654835,0,1,0,2
2,-0.253776235311914,0,1,0,2
2,0.552282790306065,0,1,0,2
2,0.08934342244074,0,1,0,2
2,-3.00642663801671,0,1,0,2
2,1.2310232118714,0,1,0,2
