v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,group
-1.480163472,-2.416299828,-1.792697558,-0.76523825,-1.462264226,1.832133026,1.354905008,-0.553504289,0.897756022,-0.441068496,0.234049977,-2.193839756,-0.396611998,0.288029222,1.389074611,1.263749005,2.361479148,1.396469568,0.633456394,1.76328198,1
-2.240577682,-2.167198029,-1.259110512,-3.106656985,-1.194573361,-0.6953459,-0.539412886,0.40672197,-1.72264192,0.634699534,1.205113026,1.028967007,0.925420562,0.897529584,1.337692616,1.188769378,-0.579443558,-0.386680482,1.26041296,1.420069892,1
-0.983442274,-2.135686486,-1.027436729,-3.01326597,-1.612482005,0.11862082,0.602286625,-0.070079133,1.625221524,-0.252498716,0.009861749,-0.19547397,0.361575383,0.41479428,-0.344431591,0.616658765,1.244370541,2.447005127,2.139759118,1.843437179,1
-4.138815025,-3.99466485,-0.696238601,-2.534129711,-1.61993513,-1.529581713,-0.402182035,-1.796582031,-0.871957613,0.179883655,0.372703118,-2.053869698,-0.996798555,-2.003876017,0.014850373,0.899635725,0.667759028,2.863138677,1.918896506,0.383055665,1
-2.90159399,-2.401041193,-1.201151516,-1.584477028,-0.985908277,0.356477038,-0.596187272,0.062758645,0.948677747,0.288960016,-1.100577478,0.91603557,0.116129392,0.366859725,-0.897317997,0.579751808,1.587680801,0.245664238,0.056433105,0.506922575,1
-2.309246114,-1.82192434,-1.740067097,-1.179732536,-2.019582112,-1.046174444,-1.107120436,1.897305302,1.67737822,0.343226087,0.842244161,-0.1690654,-0.056273143,-0.380880226,1.758437349,0.965283937,0.03467952,0.962502602,0.424088647,1.318140583,1
-2.346153235,-2.017450769,-1.282738407,-0.925571338,-0.206846293,-0.601025573,0.591738057,-1.282187551,0.475076455,0.638001918,1.090217176,-0.046847596,-0.54836863,-0.708096746,0.165708746,1.537392195,3.068523281,0.310657484,-0.365084493,0.11261738,1
-1.446829073,-2.33588041,-1.145244108,-1.600549903,0.762089201,-1.436771193,0.234978321,-0.343367922,1.234133087,0.530362017,0.307712618,1.345449032,0.905218465,1.086039722,-0.573280616,1.597231754,2.855068139,2.302567894,1.099939723,2.3099148,1
-4.217211277,-2.110402755,-0.19900683,-2.019600751,-0.819280778,0.626182983,0.488564964,0.3436952,-0.48493872,1.277775037,0.298118659,-0.89266274,-0.923668686,-0.134244881,-0.070271894,0.890222182,1.281203201,-0.58333759,0.784082808,1.312550757,1
-2.061770151,-0.885165082,-1.136176993,-0.675961151,-1.107084734,-0.021630615,0.111265792,-0.851919867,-0.148668737,0.245709632,-0.510618806,-0.329329906,-1.006190993,-1.237563339,0.033958288,1.171670663,1.938325517,0.309478235,0.451246525,2.81690205,1
0.765675865,-3.282072431,-1.784495529,-1.391032379,-1.935656883,-0.244973494,0.662461636,-0.397291348,2.393288129,-0.66056347,-0.257422634,-0.754788305,0.566832891,1.034755887,1.635568053,2.374922625,1.357888876,1.304055589,1.561471417,-0.674060499,1
-0.612637529,-1.171549877,-1.802163529,-1.465826741,-3.504623426,0.289361475,-1.187213431,0.189766074,-1.546084558,-0.883576308,1.578903012,-0.908246681,-1.170626808,0.192680158,-0.339430071,1.904351571,2.673651435,0.317025814,1.867215478,1.033630491,1
-1.309279582,-1.145168847,-0.765417113,-0.617382274,-1.94365323,-0.051501937,0.351221874,2.282598601,-1.393238548,0.426911921,-0.188520425,-1.650163555,2.31535914,-1.079564648,1.014897007,-0.786667024,0.760912989,2.998596861,1.702901592,2.13339162,1
-2.152128945,-3.048364718,-1.731648658,-2.778400702,-2.572351877,0.248344411,1.58261424,-1.86774055,0.156581299,-1.402985934,0.340146076,-1.349182352,-1.119131595,1.012967223,0.329995217,0.452604305,1.592680671,0.759114343,1.634430392,1.443685705,1
-0.972459776,-0.374710423,-0.836752218,-2.567548683,-2.190365966,0.248937993,0.437555263,0.056093048,-1.040285919,-0.197294067,-0.400683493,-0.594014352,-1.040237859,1.306563635,0.35364059,0.345053554,1.875890126,3.490863339,1.702338237,1.163164434,1
-2.672591707,0.344360704,-1.768435968,-1.118942093,-1.783203155,0.755474357,0.807688493,0.484288054,-0.423599953,1.426232217,1.636988122,-0.506441343,-0.394101241,0.177311105,-1.593267027,0.96631786,3.250179054,0.779457958,0.508487828,0.971848038,1
-1.629493322,-2.831691855,-1.216362529,-2.541935633,-0.123391572,0.308187303,0.69107519,0.278982598,-2.065196208,-0.17310147,1.376382638,-0.379287174,0.052819029,-1.319704091,-1.959942538,1.470851717,2.023851303,0.675051135,2.194218966,1.246902687,1
-2.466610795,-2.109793652,-1.680011585,-1.565725105,-3.010499861,1.263145172,0.058479849,0.866259445,1.383889772,0.981757257,-1.806066142,0.509878104,-0.79011814,0.900559346,1.27586163,2.218750446,0.383852855,0.372810639,1.329024517,2.35574305,1
-2.830065785,-1.215075208,0.630862331,-0.943918002,-0.985454827,0.976314387,-1.986629621,0.909110141,0.785137937,-1.857984299,-0.71651886,-0.566278574,-0.820120507,-0.984534321,0.23063979,1.852532723,1.008191722,1.426876156,3.48919454,1.304037541,1
-0.933930127,-1.76611376,-2.33527464,-1.439783979,-0.05122867,1.209677864,-1.152367471,-0.123759919,0.261568714,0.599288917,-1.890700863,-1.175899939,1.642367748,-0.024881762,2.381349321,2.154663996,2.853292102,-0.460900772,0.880329105,2.390361674,1
