v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12
-0.492718196,-0.406017417,0.206943533,0.70611399,1.124546655,0.312320912,0.656200831,-0.326396954,-1.510272504,-2.334237409,-1.482369769,-2.289448767
0.894547114,0.776886615,0.960911331,0.432211972,-0.029344094,-0.424050828,0.978929167,-0.001981248,-0.128789463,-0.906892739,-0.085299979,-0.254136663
-1.38367502,-1.215656679,0.102045103,-0.824700242,1.03701281,0.344207474,0.628121616,-0.255434837,0.071917996,1.046698456,0.366829879,0.451659611
-2.089355379,-0.250934413,-0.669238056,-0.731132095,-0.620745741,0.224558685,-1.688044643,-0.353568344,0.766314171,-0.103259663,-0.26848783,-0.953176185
2.151531381,1.465826307,1.330695092,0.600791652,-0.254978794,0.947032275,1.721980502,1.19178163,0.596653124,0.742465085,-0.543591591,0.545215752
-1.169855596,-0.813043043,-0.591994976,-0.163035457,0.47208074,1.388834387,0.30027051,-0.309443848,-0.310425838,1.988204171,0.814015245,-0.796666902
-1.006321723,-2.111586323,-1.832832848,-0.726757423,-0.424863599,-0.709164536,-1.199247489,0.321726274,-0.798051232,0.258508039,-0.398282952,-0.002270772
-0.31321624,-0.364500296,-0.716085809,0.033373848,0.112490692,-0.259554264,1.07570016,1.074849843,-0.537714479,-0.377218223,-1.008219656,0.227594655
-0.060960459,2.28249103,-0.545532097,0.448340339,1.688414267,1.4637306,0.792820823,1.514561148,-0.886743815,-0.673552087,-1.623090211,-0.625725494
1.44433399,-0.517870034,-0.861449298,1.182023073,-0.633164289,-0.905081358,-0.122004424,-1.288789869,-0.180549759,-0.726762784,0.861148885,0.308296657
-0.144520136,-0.410122913,-0.412911607,-0.755743461,-0.20819515,-0.55322728,-0.503646057,-0.351652401,1.138262284,0.162663514,1.102120011,0.447042554
-0.125985542,-1.07672301,0.580597222,-0.328433464,0.548671213,0.860636121,1.093158316,1.452243312,-1.700547959,-0.551814582,-0.773320304,-2.493189999
1.163195448,-0.263275407,-0.00335836,1.020066175,-0.917040607,0.522691883,0.977730324,1.604680681,2.535577104,-0.541834923,0.719094021,0.104287552
-1.176481367,-3.024324954,-1.447836647,-2.366446014,0.070914869,-1.357583954,0.086926321,-1.093934969,-1.818505292,-0.681090519,-0.386947296,-0.494834782
0.004670499,-1.384259485,1.125573713,0.11095383,0.397479592,0.805762331,0.245961243,-0.636167406,0.217767617,-0.146600002,0.09257436,0.054530299
-0.948499464,0.815211642,-0.207780811,-0.573064483,-0.655483759,-0.036028676,-0.66902073,-0.193941951,-0.386294116,-0.243992753,0.802519276,-1.583651047
0.516426785,-0.78913805,-0.545626458,-1.238912483,-0.932495359,-0.388347592,-1.293265559,-0.41171442,0.084115866,-1.292377979,-0.664860168,-1.031589632
0.294092448,1.348019175,2.763166075,0.746689703,-1.222483773,-0.115229311,0.103012843,1.864348124,0.662768905,1.559103269,1.694140012,1.877265592
-0.43253089,0.213628591,-0.753892447,0.245558793,-0.343506382,0.185646109,-1.708965936,-2.14394516,-1.324935275,-1.248877399,-1.028984381,-0.897649725
1.196641652,-0.62780837,0.585954211,0.742332442,-0.149127021,-1.784931617,-0.973535508,-1.063129131,-0.043425899,-0.597619211,0.378137464,-0.838147942
-2.267558185,-1.098178762,-1.345119215,-2.023364668,-0.010791356,-0.408876839,0.551613322,-0.032830879,-0.440092067,1.277519108,0.478202434,-0.174587762
1.651457705,1.420087429,1.984477464,1.247323867,-0.665870867,-0.187877065,-0.974894731,-0.429679052,-0.274912465,-0.423183716,1.30019977,-0.329502581
0.524020783,0.800550897,-0.391341432,1.148735435,1.497577087,-0.063484921,1.552524362,1.501735705,0.094545227,1.005774938,0.721422269,1.015867376
-1.701819633,-1.9340839,-0.068541368,-1.53720661,-0.945207747,0.426856387,-0.090248507,-0.305903111,-2.21446759,0.037115479,-0.967246135,-0.308665384
1.953373268,1.932007303,0.780218875,-0.285377541,-1.072616354,-1.129895296,0.196230561,0.726734957,1.377387276,-0.130882331,2.096086178,0.457226895
0.112220257,-0.701896118,-1.099828732,-1.859862402,0.821378495,-0.114477949,-0.270235396,0.028167512,-0.787829852,0.604525615,-0.892299119,-1.064793163
0.58354559,0.130072914,1.043304844,-1.046730589,-1.905531815,-0.143672444,-1.585692307,-1.03022093,0.67897461,0.108186945,-0.49736239,0.668564371
-0.190859107,-0.527975721,0.474812204,-0.641626443,0.207171975,-0.578983056,-1.85444579,0.136866901,-0.509032821,0.190360005,-0.872839675,0.84622182
1.707716077,1.585989196,0.800874267,0.059658088,1.147241698,0.056352722,0.82108609,0.37934605,-0.106125232,1.305975565,0.500722035,1.084531334
-0.447798276,0.620147039,-1.331862115,-1.260227004,0.473720845,0.301912134,0.390143241,0.258559363,0.012490143,-0.072787593,-1.008654043,0.164819463
-0.474323043,-1.183565058,-2.451297268,-1.304344708,1.098957235,-0.038862908,1.43064769,1.419806954,-0.258397157,-0.100406408,1.057752963,-0.578741319
-1.193282985,-0.996015872,-0.21879326,-0.388361503,0.28994203,0.149619897,0.822254144,-0.192151185,-2.635688142,-1.433834886,0.644419056,-1.75359685
1.100026384,0.835305756,1.201632821,1.566426838,0.738873572,0.775812133,-0.572043589,-1.120528941,-0.873497971,0.523348353,-0.222155752,-0.135085902
-0.082171464,0.483335259,-1.182076802,1.436119867,0.22359226,-0.841607173,-0.962340993,0.010222634,-0.248461366,-1.319667107,0.26056226,-1.697248057
0.373784764,0.428464278,0.025558989,0.191383584,-0.488143829,-0.90843939,-1.471088067,-0.293038148,-0.015173849,0.852034606,-0.31510391,0.364102541
-0.40731374,0.064998353,-0.307305778,0.997695164,0.872355282,-0.455809449,-0.4045349,-1.180297557,-0.915092041,-0.698194626,-0.525314436,-0.39085557
